DEPRES,ANIETY,PRESSUR,ALTITUD,EMOTE
20,12,14,12,49
2,4,2,20,60
0,2,2,17,77
2,2,0,10,66
6,6,10,5,56
2,0,4,18,70
2,4,6,26,70
0,4,6,16,67
0,2,6,16,68
4,4,8,13,64
2,6,8,24,80
4,8,10,23,68
0,6,4,21,69
14,6,20,13,53
8,6,8,16,63
2,2,4,16,71
10,8,10,16,71
2,4,4,16,78
6,4,8,13,67
2,6,6,5,60
10,4,10,12,48
8,8,6,22,74
0,0,0,11,68
6,6,8,20,78
6,8,14,15,62
10,8,6,17,62
24,20,24,7,37
0,0,0,16,80
2,4,8,20,77
8,14,10,24,62
12,14,12,16,65
0,0,0,21,81
18,12,20,16,54
0,0,0,16,56
0,2,2,24,87
12,0,8,13,58
0,0,0,20,75
0,2,2,17,72
2,4,4,14,72
0,2,2,23,73
12,10,10,12,63
4,6,8,19,74
4,6,6,14,77
8,6,14,16,65
2,6,2,17,62
12,12,12,18,67
0,8,8,19,73
2,0,4,18,76
14,6,14,14,66
0,0,0,24,86
0,0,2,16,76
6,0,10,16,61
4,6,14,14,66
0,0,6,17,72
4,6,8,16,61
8,6,8,12,66
0,0,0,22,82
0,2,6,11,59
4,12,8,19,67
2,8,4,16,72
0,0,0,19,82
6,14,12,21,57
2,2,12,16,60
8,8,16,17,55
8,22,26,8,53
10,14,20,12,55
8,10,8,16,65
2,4,16,18,79
10,6,4,11,66
20,32,34,12,36
2,4,6,12,62
4,6,8,20,69
8,12,16,17,46
12,14,16,17,56
2,6,6,15,56
14,4,10,13,53
42,42,38,4,20
10,10,16,16,63
0,0,2,18,75
0,6,10,21,72
2,4,6,22,67
4,4,8,15,76
2,4,2,17,79
0,2,12,17,67
0,0,0,27,81
2,6,6,17,60
8,12,16,15,54
2,0,6,21,98
16,12,18,10,52
6,10,10,13,66
4,4,10,11,58
6,10,6,11,64
10,8,12,21,73
0,0,2,16,69
2,0,2,14,77
0,0,0,22,71
0,2,10,23,79
6,6,10,5,54
0,0,0,16,56
8,8,14,23,55
0,0,0,16,71
0,2,2,20,75
4,6,10,10,60
6,14,8,24,73
0,0,0,19,73
4,6,10,16,63
4,6,10,19,67
2,4,0,16,71
4,2,8,11,58
2,2,2,23,76
12,14,18,7,44
0,2,0,23,81
0,2,4,19,75
0,0,4,19,65
4,6,12,14,71
0,2,0,14,72
2,2,6,20,72
0,0,0,21,79
2,0,0,21,82
4,6,12,14,52
0,6,4,15,61
10,8,12,23,69
0,0,0,23,76
12,6,6,7,53
0,4,2,15,72
0,0,2,19,70
0,0,2,20,84
4,8,8,13,61
4,6,4,18,77
12,20,18,9,44
14,2,10,18,70
4,2,8,9,61
2,2,6,21,71
0,2,6,25,82
10,6,12,14,69
0,0,6,18,70
0,0,2,18,72
2,2,8,11,72
2,4,4,11,72
8,8,12,17,58
2,8,2,24,77
0,4,6,15,75
2,4,6,20,69
10,14,14,10,55
0,0,0,21,75
18,14,16,11,58
24,8,14,8,63
0,0,0,9,69
4,10,6,21,70
0,0,2,19,80
16,14,26,5,61
2,4,2,15,66
0,8,4,12,63
12,20,14,10,58
2,0,2,23,77
8,8,8,20,71
2,2,2,19,70
14,14,14,19,54
4,4,8,22,81
0,2,4,6,79
0,2,2,16,64
2,0,6,11,63
2,6,10,20,73
2,4,6,20,73
4,6,4,13,65
14,12,12,16,58
0,0,0,23,79
10,14,12,14,69
2,6,10,16,74
8,2,12,10,66
2,4,0,11,70
12,0,10,15,71
0,0,0,23,74
4,2,12,16,73
4,2,6,14,66
2,0,2,19,68
0,0,4,24,78
8,4,12,20,67
0,8,6,23,75
0,2,2,18,59
12,20,22,11,53
0,0,4,15,63
2,2,0,12,78
6,10,4,26,79
2,2,2,19,64
10,10,8,19,55
0,0,0,24,83
2,0,0,24,84
8,8,10,18,68
2,2,2,23,66
4,4,10,12,52
2,0,0,16,85
0,0,0,18,73
4,4,2,23,66
4,4,10,20,68
0,0,0,19,77
0,2,0,16,68
2,0,4,15,68
8,6,14,16,60
4,6,8,24,70
2,8,10,17,68
0,0,2,20,73
6,10,12,20,70
12,14,14,15,62
14,12,14,16,58
4,0,4,16,68
4,6,8,14,67
0,0,2,20,64
12,12,14,20,73
2,4,4,21,79
20,18,24,4,51
2,10,8,10,69
0,0,2,19,73
0,2,10,24,70
16,16,20,9,64
0,2,4,11,74
10,12,8,16,70
12,8,14,11,55
16,10,16,8,55
8,6,10,22,68
4,8,4,18,73
10,16,16,17,65
4,0,2,15,63
0,0,0,23,78
2,4,6,17,74
0,2,0,21,72
14,8,20,15,42
6,12,14,18,64
0,0,0,19,56
6,12,8,8,56
2,2,8,24,77
10,6,10,20,69
4,4,6,11,59
6,2,4,20,68
4,4,10,16,67
0,0,0,19,86
10,10,12,17,60
4,4,4,22,70
10,6,4,16,64
6,10,6,10,60
8,8,8,21,73
4,6,10,14,66
10,10,6,18,63
0,2,2,21,88
6,8,8,14,66
18,16,18,5,44
2,12,14,14,70
0,2,0,23,82
0,4,4,14,61
0,0,0,20,84
4,0,8,12,64
14,22,12,14,53
10,8,14,12,51
0,2,0,12,67
0,4,2,19,68
0,0,0,19,74
2,2,6,17,76
8,6,12,16,58
6,4,2,14,67
2,2,8,20,80
6,12,16,8,53
10,18,14,18,56
2,4,8,13,63
10,18,14,10,67
6,10,14,13,52
18,14,20,7,49
10,10,12,16,68
0,4,4,16,86
6,8,10,24,84
6,2,0,21,75
0,0,0,21,64
14,8,14,20,65
0,0,2,20,72
2,0,4,16,63
12,10,12,16,55
0,0,0,24,78
2,0,6,23,68
2,0,2,15,74
0,2,4,21,78
6,0,2,17,72
0,0,2,22,79
6,10,8,16,70
10,10,4,18,60
0,0,2,22,73
16,14,16,15,58
4,2,8,22,69
6,6,14,12,55
0,0,0,19,81
0,0,0,20,76
0,4,4,21,78
4,2,8,22,73
12,14,14,20,67
2,12,10,17,80
2,2,2,23,81
2,0,4,21,71
6,8,12,20,65
4,0,6,9,61
2,6,2,7,63
8,8,18,14,57
0,2,6,24,68
6,8,10,20,63
6,2,6,15,83
0,0,0,23,72
0,0,2,18,91
0,0,0,16,72
0,6,4,16,58
0,0,0,23,86
4,4,10,24,67
0,0,6,17,65
0,0,0,22,79
0,4,8,22,75
14,14,14,16,53
0,4,4,16,65
0,0,2,23,79
0,0,0,20,81
12,10,18,12,63
18,14,14,4,72
0,0,2,19,71
6,6,16,8,59
4,10,8,13,67
10,14,20,16,61
0,0,0,21,68
4,0,8,18,65
6,12,22,18,61
0,0,0,8,60
2,2,8,24,74
4,8,10,24,76
16,12,12,18,62
4,6,6,20,64
4,4,2,19,79
0,2,4,13,63
0,0,0,25,88
22,14,28,12,46
0,0,0,11,66
10,8,14,8,66
4,12,14,18,63
0,2,6,24,75
0,0,2,8,72
6,10,8,15,62
2,8,14,23,77
6,14,16,16,58
2,2,8,14,63
0,4,4,23,88
2,4,8,13,71
10,4,8,19,73
14,12,14,13,52
2,6,10,18,84
2,4,6,17,70
24,14,10,21,72
14,14,14,12,43
6,8,10,9,67
10,10,14,14,58
0,0,0,23,74
8,8,12,6,42
0,0,2,12,68
12,8,12,11,53
0,0,2,23,82
18,6,12,7,51
8,20,26,12,55
12,8,14,7,54
2,2,8,12,63
4,6,8,13,77
2,2,2,20,71
0,0,2,22,79
0,4,8,18,69
2,0,6,19,76
0,0,0,20,86
6,12,14,12,61
12,16,24,14,37
6,2,2,14,70
2,2,8,24,60
0,0,0,17,73
0,0,0,24,81
14,12,12,19,58
4,2,2,18,66
4,6,12,17,65
0,2,2,23,84
0,0,0,16,68
0,0,4,20,70
8,10,10,14,72
2,4,6,25,78
0,0,0,20,73
10,6,8,13,60
0,6,10,22,76
8,14,20,13,59
0,0,0,19,66
12,2,12,15,47
2,6,10,16,64
2,2,2,18,76
0,2,2,24,66
8,16,12,16,63
2,2,4,21,73
6,14,8,16,60
8,14,16,23,74
16,16,14,11,55
2,2,0,22,86
2,4,8,25,77
4,2,6,16,70
12,16,10,8,69
6,6,12,15,58
0,0,2,12,79
12,10,16,20,53
6,4,6,20,68
2,4,8,18,75
0,2,8,17,79
2,6,4,17,73
22,20,26,22,39
4,4,10,15,67
12,6,12,13,60
2,4,6,18,61
2,6,6,20,74
2,6,12,12,69
16,14,18,9,44
2,0,4,12,69
6,8,12,21,64
6,4,12,18,67
2,2,6,16,69
6,8,10,17,65
0,0,2,16,56
